global_coverage,n_rules,average_crowding_distance,average_error,overlap_mean_jaccard,overlap_redundancy,overlap_gini_coverage,coverage_mean,coverage_p50,coverage_p90,coverage_max,graph_filename
0.788,16,0.0,0.007957055928144802,0.1328884157267837,1.3705583756345177,0.4738072805139186,1.868,1.0,5.0,7,results/ES1xLambda_20251023_141526
0.868,16,0.0,0.009130997260305654,0.08374754538037327,1.2672811059907834,0.3276910569105691,1.968,2.0,3.0,5,results/ES1xLambda_20251023_141530
0.74,16,0.0,0.006636125925360371,0.09183641021297038,1.2216216216216216,0.433352798053528,1.644,2.0,3.0,4,results/ES1xLambda_20251023_141535
0.788,16,0.0,0.006287300153400243,0.11768995663626634,1.2791878172588833,0.4629220489977728,1.796,2.0,5.0,6,results/ES1xLambda_20251023_141540
0.828,16,0.0,0.009383741161901441,0.12502884156359517,1.458937198067633,0.43219646365422393,2.036,2.0,5.0,7,results/ES1xLambda_20251023_141544
0.888,16,0.0,0.007276315375158082,0.11492201347956076,1.1396396396396395,0.4015578947368421,1.9,2.0,5.0,6,results/ES1xLambda_20251023_141548
0.856,16,0.0,0.010649050011023106,0.09896327137407024,1.1401869158878504,0.40646288209606984,1.832,2.0,4.0,6,results/ES1xLambda_20251023_141553
0.868,16,0.0,0.009464915637554357,0.07988077111148767,1.1244239631336406,0.33366594360086765,1.844,2.0,3.0999999999999943,4,results/ES1xLambda_20251023_141557
0.76,16,0.0,0.006324490894859508,0.10268300045040875,1.3526315789473684,0.45389709172259507,1.788,2.0,4.0,5,results/ES1xLambda_20251023_141602
0.772,16,0.0,0.008991648642903688,0.11560013409927504,1.461139896373057,0.4624421052631579,1.9,2.0,4.0,5,results/ES1xLambda_20251023_141606
0.812,16,0.0,0.009561366879544344,0.12415337831779016,1.4088669950738917,0.46121063394683026,1.956,1.0,4.0,7,results/ES1xLambda_20251023_141611
0.82,16,0.0,0.007967159939055623,0.08941253072958419,1.1609756097560975,0.40381941309255076,1.772,2.0,4.0,4,results/ES1xLambda_20251023_141615
0.912,16,0.0,0.008047262894385884,0.08785401923908064,1.1140350877192982,0.3329294605809129,1.928,2.0,4.0,4,results/ES1xLambda_20251023_141620
0.844,16,0.0,0.00759913833709653,0.09596052413082784,1.0900473933649288,0.41502947845804994,1.764,1.0,4.0,6,results/ES1xLambda_20251023_141624
0.712,16,0.0,0.00942415505697407,0.22528511799028672,1.7134831460674158,0.5967784679089028,1.932,1.0,7.0,9,results/ES1xLambda_20251023_141628
0.904,16,0.0,0.008276438271569727,0.08055239738975302,1.008849557522124,0.3722643171806167,1.816,1.0,4.0,6,results/ES1xLambda_20251023_141633
0.872,16,0.0,0.006255923871559739,0.10098770285743659,1.1330275229357798,0.39123440860215053,1.86,1.5,4.0,5,results/ES1xLambda_20251023_141638
0.844,16,0.0,0.006821210840984596,0.08533285157760435,1.0900473933649288,0.404562358276644,1.764,2.0,4.0,5,results/ES1xLambda_20251023_141642
0.864,16,0.0,0.008479802611542974,0.1046490348219551,1.3518518518518519,0.3715905511811024,2.032,2.0,4.0,6,results/ES1xLambda_20251023_141647
0.692,16,0.0,0.008360026007836592,0.12729592343602714,1.6127167630057804,0.5323185840707965,1.808,1.0,4.0,7,results/ES1xLambda_20251023_141651
0.796,16,0.0,0.0077801426038096085,0.12102268032862078,1.2261306532663316,0.4762889390519187,1.772,1.0,4.0,7,results/ES1xLambda_20251023_141656
0.832,16,0.0,0.006275429826083735,0.09172302225455801,1.1538461538461537,0.395625,1.792,2.0,4.0,5,results/ES1xLambda_20251023_141700
0.768,16,0.0,0.006723098567775695,0.08858805039510151,1.3229166666666667,0.39766816143497763,1.784,2.0,3.0,6,results/ES1xLambda_20251023_141704
