global_coverage,n_rules,average_crowding_distance,average_error,overlap_mean_jaccard,overlap_redundancy,overlap_gini_coverage,coverage_mean,coverage_p50,coverage_p90,coverage_max,graph_filename
0.82,16,0.15331512099574554,0.05240229563361285,0.06862097948067375,1.673170731707317,0.36519708029197084,2.192,2.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142525
0.916,16,0.14901623745246387,0.09548368625323835,0.08993605578639582,1.8471615720524017,0.36441717791411044,2.608,3.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142525
0.864,16,0.12535270901678058,0.07354204921905755,0.0915102903438329,1.7824074074074074,0.4077803660565724,2.404,2.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142526
0.896,16,0.14375143278307234,0.04747274756232167,0.041653021798507724,0.9910714285714286,0.2766816143497758,1.784,2.0,3.0,3,results/NSGA2Novelty_G_P_20251023_142527
0.92,16,0.12116980701093663,0.04597516097703085,0.058700012929115954,1.3652173913043477,0.24364705882352944,2.176,2.0,3.0,4,results/NSGA2Novelty_G_P_20251023_142528
0.824,16,0.16669484296714052,0.044229121971331296,0.0707798093208,1.3689320388349515,0.36686885245901635,1.952,2.0,3.0,5,results/NSGA2Novelty_G_P_20251023_142529
0.836,16,0.17733333211395402,0.04360132067670471,0.1348038339688454,1.7177033492822966,0.5008732394366198,2.272,1.0,6.0,8,results/NSGA2Novelty_G_P_20251023_142529
0.872,16,0.17576312518032924,0.06461837150320701,0.09543100882538375,1.981651376146789,0.32131692307692306,2.6,3.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142530
0.908,16,0.11191890814588193,0.08077899545828673,0.1294472716553599,2.66079295154185,0.40774488567990375,3.324,3.0,6.099999999999994,9,results/NSGA2Novelty_G_P_20251023_142531
0.788,16,0.17207024109427474,0.05752176702346338,0.0693775276280431,1.9340101522842639,0.4251626297577855,2.312,2.0,5.0,5,results/NSGA2Novelty_G_P_20251023_142532
0.908,16,0.1777745120097607,0.059615883154135796,0.064165262289551,1.2731277533039647,0.2905891472868217,2.064,2.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142532
0.872,16,0.17211259681688756,0.05910233039552201,0.10787985181729169,2.3394495412844036,0.38967032967032966,2.912,3.0,5.0,7,results/NSGA2Novelty_G_P_20251023_142533
0.932,16,0.18481762137755595,0.04778030596252669,0.07172290279920834,0.9484978540772532,0.2953480176211454,1.816,2.0,3.0,5,results/NSGA2Novelty_G_P_20251023_142534
0.792,16,0.15353604480740257,0.09364892679907862,0.14238448380697186,3.5606060606060606,0.37673089700996676,3.612,5.0,6.0,8,results/NSGA2Novelty_G_P_20251023_142535
0.904,16,0.15330437000789648,0.034329539096912595,0.08251530725225059,1.0132743362831858,0.30196923076923077,1.82,2.0,3.0,4,results/NSGA2Novelty_G_P_20251023_142536
0.88,16,0.20335040070326613,0.04569079488403276,0.06276072360185102,1.3409090909090908,0.35705631067961163,2.06,2.0,4.0,6,results/NSGA2Novelty_G_P_20251023_142537
0.748,16,0.17689442404739036,0.04404752574751652,0.07951817704896094,1.8983957219251337,0.4180959409594096,2.168,2.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142538
0.736,16,0.18375356375398394,0.09334306214347564,0.14317914338902077,3.217391304347826,0.47759793814432994,3.104,3.0,7.0,7,results/NSGA2Novelty_G_P_20251023_142539
0.76,16,0.16730920964689028,0.09142057175738537,0.09267938258892779,2.526315789473684,0.40010746268656716,2.68,3.0,5.0,5,results/NSGA2Novelty_G_P_20251023_142539
0.804,16,0.16683697792432578,0.0241997044039974,0.06061387421671651,1.0497512437810945,0.4532815533980582,1.648,1.0,4.0,6,results/NSGA2Novelty_G_P_20251023_142540
0.772,16,0.1645738710660328,0.03267374223764767,0.046869093434592404,0.8808290155440415,0.42722865013774103,1.452,1.0,3.0,5,results/NSGA2Novelty_G_P_20251023_142541
0.832,16,0.1503416061910336,0.060389605976039984,0.08074394584888435,1.8605769230769231,0.4151058823529412,2.38,2.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142542
0.8,16,0.16035560763924395,0.06669084874071687,0.11030811561375618,2.71,0.3906738544474394,2.968,3.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142543
0.768,16,0.21886102519469253,0.056350066227868076,0.1259738123563598,2.1875,0.4741830065359477,2.448,2.0,6.0,7,results/NSGA2Novelty_G_P_20251023_142544
