global_coverage,n_rules,average_crowding_distance,average_error,overlap_mean_jaccard,overlap_redundancy,overlap_gini_coverage,coverage_mean,coverage_p50,coverage_p90,coverage_max,graph_filename
0.988,16,0.15342647559699385,0.08353936322066316,0.07765938315908638,1.7894736842105263,0.26690856313497824,2.756,3.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142732
1.0,16,0.17814414440860185,0.07536019026621821,0.08102858324734293,1.864,0.24694972067039112,2.864,3.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142733
0.864,16,0.1907707134281597,0.0688287404803632,0.09802341525035611,2.4166666666666665,0.3101246612466124,2.952,3.0,5.0,7,results/NSGA2Novelty_G_P_20251023_142733
1.0,16,0.206935730314924,0.07215153167599703,0.12126641377416836,2.26,0.24756319018404904,3.26,4.0,5.0,5,results/NSGA2Novelty_G_P_20251023_142734
0.968,16,0.16447709473308858,0.07851605200249151,0.08174585739013839,2.15702479338843,0.2687434554973822,3.056,3.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142735
1.0,16,0.21087653171561227,0.07284898832280287,0.12183684158442283,2.464,0.266743648960739,3.464,3.0,5.0,7,results/NSGA2Novelty_G_P_20251023_142735
1.0,16,0.13842133175986285,0.06190164557120318,0.06052472488231478,1.456,0.2049641693811075,2.456,2.0,4.0,4,results/NSGA2Novelty_G_P_20251023_142736
1.0,16,0.12427780364996702,0.20745589744095116,0.08476155727191344,2.676,0.18383895538628947,3.676,4.0,5.0,5,results/NSGA2Novelty_G_P_20251023_142737
1.0,16,0.2188419926228631,0.06638735974873687,0.09020151559588839,2.176,0.17602015113350122,3.176,3.0,4.0,6,results/NSGA2Novelty_G_P_20251023_142737
1.0,16,0.19419863254370506,0.19929779301850156,0.13370430153739782,3.804,0.18652123230641138,4.804,5.0,7.0,8,results/NSGA2Novelty_G_P_20251023_142738
0.972,16,0.157274545518654,0.0774355475415283,0.06750792719429068,1.8148148148148149,0.27714619883040936,2.736,3.0,4.0,6,results/NSGA2Novelty_G_P_20251023_142739
0.968,16,0.14193398817449102,0.09376648137924433,0.10839207107849315,2.0785123966942147,0.2964026845637584,2.98,3.0,5.0,7,results/NSGA2Novelty_G_P_20251023_142739
1.0,16,0.14363664277664984,0.07328055157350678,0.13239561350780116,2.864,0.1725465838509317,3.864,4.0,5.0,7,results/NSGA2Novelty_G_P_20251023_142740
0.912,16,0.17855191450826036,0.056621659652861,0.1046362748631155,1.9342105263157894,0.3247174887892377,2.676,3.0,5.0,6,results/NSGA2Novelty_G_P_20251023_142741
0.956,16,0.19110426477502737,0.06589148829121527,0.12351744581135021,2.3179916317991633,0.38374274905422445,3.172,3.0,7.0,7,results/NSGA2Novelty_G_P_20251023_142741
1.0,16,0.14477122262979086,0.06276819855911703,0.07670053715845843,1.776,0.1815792507204611,2.776,3.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142742
0.904,16,0.20978796858530338,0.05182890012448629,0.08326782931966313,1.6283185840707965,0.29727946127946125,2.376,2.0,4.0,5,results/NSGA2Novelty_G_P_20251023_142743
