global_coverage,n_rules,average_crowding_distance,average_error,overlap_mean_jaccard,overlap_redundancy,overlap_gini_coverage,coverage_mean,coverage_p50,coverage_p90,coverage_max,graph_filename
1.0,16,0.10291667726224743,0.2968633366762127,0.3999506776064509,8.464,0.14403719357565514,9.464,11.0,12.0,12,results/NSGA2_20251023_142843
1.0,16,0.10660214981793943,0.2751628758714561,0.35689768094443447,7.804,0.1356783280327124,8.804,10.0,11.0,11,results/NSGA2_20251023_142843
1.0,16,0.10884629402901011,0.2843571920601229,0.3622556985516899,8.044,0.1209287925696595,9.044,9.0,12.0,12,results/NSGA2_20251023_142844
1.0,16,0.10919024362317611,0.27893527634480547,0.47890003943546056,9.416,0.12317357910906301,10.416,11.0,13.0,14,results/NSGA2_20251023_142844
1.0,16,0.10262178231895412,0.2779523000075108,0.3941972890111597,8.176,0.15684742807323448,9.176,9.0,12.0,13,results/NSGA2_20251023_142844
1.0,16,0.1189257654338663,0.2739924266418795,0.4934901338247387,9.564,0.13540174176448316,10.564,12.0,13.0,15,results/NSGA2_20251023_142845
1.0,16,0.09455676665010082,0.2829710770365255,0.32546060954946043,7.672,0.11712915129151291,8.672,9.0,11.0,12,results/NSGA2_20251023_142845
1.0,16,0.11045145207216787,0.29317130861435403,0.4863406464037304,9.564,0.11880499810677769,10.564,11.0,13.0,15,results/NSGA2_20251023_142846
1.0,16,0.08829058515170266,0.2960120611891278,0.42148919143826014,9.024,0.07390582601755791,10.024,10.0,11.0,13,results/NSGA2_20251023_142846
1.0,16,0.11141464260486852,0.286209671412361,0.4506872507417414,9.056,0.12922513922036594,10.056,10.0,13.0,14,results/NSGA2_20251023_142846
1.0,16,0.10591520196458883,0.2806318523491811,0.4767570839776323,9.376,0.12993369313801084,10.376,11.0,12.099999999999994,14,results/NSGA2_20251023_142847
1.0,16,0.09279093754818946,0.2855441072768572,0.44833457867343335,8.944,0.14071761866452137,9.944,11.0,12.0,13,results/NSGA2_20251023_142847
1.0,16,0.10139972501072923,0.3043406693326974,0.3682955994427708,8.368,0.061506404782237456,9.368,10.0,11.0,11,results/NSGA2_20251023_142848
1.0,16,0.1114150409686853,0.2663064033986137,0.35781707550895814,7.336,0.1987101727447217,8.336,8.0,12.0,13,results/NSGA2_20251023_142848
1.0,16,0.10647995090361284,0.2898901191569424,0.4194601464704896,8.568,0.14853177257525085,9.568,11.0,12.0,13,results/NSGA2_20251023_142849
1.0,16,0.10318253612291738,0.32090909457644157,0.5284866895882947,10.072,0.12099132947976876,11.072,11.0,14.0,14,results/NSGA2_20251023_142849
